LigandID,Score,SMILES,OnBits
5046,9.4,S(=O)([O-])(=Nc1ncccc1)c1ccc(N=Nc2cc(C(=O)[O-])c(O)cc2)cc1,"64,118,131,132,175,187,202,250,285,319,343,350,356,378,404,428,448,451,452,544,559,569,578,583,620,641,650,656,674,687,715,725,726,758,807,830,842,849,875,893,931,967"
5506,-1.0,S(=O)(=O)([O-])[C@H](C(=O)OC[C@@H](CCCC)CC)CC(=O)OC[C@@H](CCCC)CC,"1,26,33,80,84,118,147,190,194,205,266,285,294,304,350,362,396,444,452,520,532,546,591,650,695,715,729,739,746,794,807,887,893,918,959"
6179,52.0,O=C([O-])[C@]12[C@H](C=3[C@@](C)([C@@]4(C)[C@H]([C@@]5(C)[C@H](C(C)(C)[C@H](O)CC5)CC4)CC=3)CC1)CC(C)(C)CC2,"31,33,36,86,138,155,202,233,240,250,267,280,301,308,356,389,409,412,418,453,463,478,549,555,598,600,610,650,679,715,757,760,781,788,807,831,848,849,857,889,893,904,926,927,938,981,1010,1019"
2702,-1.3,O(C[C@H](O)C[N+H2]C(C)(C)C)c1c2c(NC(=O)CC2)ccc1,"91,140,147,457,807,844"
1767,-5.3,O=C1c2c3[C@H]([C@@H](C(C)C)C1)C[C@@H](C)[C@H](O)c3oc2,"1,33,78,81,86,154,164,187,209,231,233,253,265,268,283,285,304,314,348,352,356,384,455,493,624,639,650,656,743,751,776,807,835,849,899,926,939,965,1019"
3171,-0.0,[N+H]([C@@H](CN1c2c(Sc3c1cccc3)cccc2)C)(CC)CC,"91,140,147,457,807,844"
6505,4.2,O=C(OCC)C[N+H2][C@H](C(=O)N1[C@@H](C(=O)NCc2ccc(/C(=[N+H]\O)/N)cc2)CC1)C1CCCCC1,"91,140,147,457,807,844"
2727,2.8,O=[N+]([O-])c1cc2C(c3ccccc3)=NCC(=O)N(C)c2cc1,"33,50,64,121,135,136,171,175,250,271,314,326,352,356,378,389,447,507,547,624,650,715,724,726,732,736,753,765,785,790,798,825,838,849,875,881,891,916,926,935,939,987"
7240,49.9,O(C)c1ccc(C=2Oc3c(c(O)cc([O-])c3C(=O)C=2)-c2c(O)ccc([C@@H]3Oc4c(c([O-])cc(O)c4)C(=O)C3)c2)cc1,"1,33,48,121,133,136,154,167,231,255,271,307,314,322,352,356,373,378,389,445,451,457,476,487,512,513,565,578,580,583,585,650,656,666,673,678,695,715,718,723,726,745,750,751,759,779,781,807,831,841,849,865,875,881,896,920,926,933,957,960,965,992,1002,1011,1019"
3414,-2.0,O=C(O[C@H]1C[N+@@H](CC)CCC1)C(c1ccccc1)c1ccccc1,"91,140,147,457,807,844"
3810,5.8,O=C(OC=1C2Oc3c(OC)ccc4c3C32[C@H]([C@@H]([N+@@H](C)CC3)C4)CC=1)C,"91,140,147,457,807,844"
7710,109.7,O(C)c1c(OC)cc2c3c1Oc1c(OC)cc4c([C@H]([N+@@H](C)CC4)Cc4cc(c(OC)cc4)Oc4ccc(cc4)CC3=NCC2)c1,"91,140,147,457,807,844"
